switch,led,key,bank,slot,anode,red_cathode,green_cathode,blue_cathode,red_register,green_register,blue_register
SW320,LED320,Esc 1u,1,1,RGB_SW01,RGB_RED01,RGB_CS02,RGB_CS03,1,2,3
SW321,LED321,1 1u,1,2,RGB_SW01,RGB_RED04,RGB_CS05,RGB_CS06,4,5,6
SW322,LED322,2 1u,1,3,RGB_SW01,RGB_RED07,RGB_CS08,RGB_CS09,7,8,9
SW323,LED323,3 1u,1,4,RGB_SW01,RGB_RED10,RGB_CS11,RGB_CS12,10,11,12
SW324,LED324,4 1u,1,5,RGB_SW01,RGB_RED13,RGB_CS14,RGB_CS15,13,14,15
SW325,LED325,5 1u,1,6,RGB_SW01,RGB_RED16,RGB_CS17,RGB_CS18,16,17,18
SW326,LED326,6 1u,2,1,RGB_SW02,RGB_RED01,RGB_CS02,RGB_CS03,19,20,21
SW327,LED327,7 1u,2,2,RGB_SW02,RGB_RED04,RGB_CS05,RGB_CS06,22,23,24
SW328,LED328,8 1u,2,3,RGB_SW02,RGB_RED07,RGB_CS08,RGB_CS09,25,26,27
SW329,LED329,9 1u,2,4,RGB_SW02,RGB_RED10,RGB_CS11,RGB_CS12,28,29,30
SW330,LED330,0 1u,2,5,RGB_SW02,RGB_RED13,RGB_CS14,RGB_CS15,31,32,33
SW331,LED331,Minus 1u,2,6,RGB_SW02,RGB_RED16,RGB_CS17,RGB_CS18,34,35,36
SW332,LED332,Equal 1u,3,1,RGB_SW03,RGB_RED01,RGB_CS02,RGB_CS03,37,38,39
SW333,LED333,Backspace 1.75u,3,2,RGB_SW03,RGB_RED04,RGB_CS05,RGB_CS06,40,41,42
SW334,LED334,Tab 1.25u,5,4,RGB_SW05,RGB_RED10,RGB_CS11,RGB_CS12,82,83,84
SW335,LED335,Q 1u,5,3,RGB_SW05,RGB_RED07,RGB_CS08,RGB_CS09,79,80,81
SW336,LED336,W 1u,5,2,RGB_SW05,RGB_RED04,RGB_CS05,RGB_CS06,76,77,78
SW337,LED337,E 1u,5,1,RGB_SW05,RGB_RED01,RGB_CS02,RGB_CS03,73,74,75
