Ref Des,Footprint,X (mm),Y (mm),Rotation,Side
C700,C_0402_1005Metric,132.750000,-75.600000,90.0000,top
C724,C_0402_1005Metric,113.100000,-71.850000,0.0000,top
C725,C_0805_2012Metric,143.350000,-83.300000,180.0000,top
C840,C_0805_2012Metric,122.000000,-80.100000,180.0000,top
C841,C_0805_2012Metric,122.000000,-82.100000,180.0000,top
C842,C_0805_2012Metric,118.600000,-81.600000,180.0000,top
C843,C_0805_2012Metric,115.900000,-80.350000,270.0000,top
C844,C_0805_2012Metric,121.000000,-85.600000,180.0000,top
C845,C_0603_1608Metric,126.050000,-76.950000,270.0000,top
C846,C_0603_1608Metric,124.550000,-76.975000,90.0000,top
C847,C_0603_1608Metric,123.050000,-76.950000,270.0000,top
C848,C_0805_2012Metric,124.700000,-82.900000,270.0000,top
C2200,C_0603_1608Metric,112.100000,-62.500000,90.0000,bottom
C2201,C_1206_3216Metric,113.500000,-69.250000,0.0000,bottom
C2211,C_0603_1608Metric,143.750000,-61.500000,180.0000,top
C2212,C_0603_1608Metric,115.000000,-61.000000,180.0000,bottom
C2213,C_0603_1608Metric,133.500000,-61.750000,180.0000,top
C2221,C_0603_1608Metric,150.000000,-61.500000,90.0000,top
C2222,C_0603_1608Metric,124.000000,-61.500000,0.0000,top
C2223,C_0603_1608Metric,140.400000,-61.500000,180.0000,top
C2230,C_0603_1608Metric,116.250000,-86.500000,0.0000,top
C2231,C_0603_1608Metric,136.750000,-83.500000,0.0000,bottom
C2240,C_0603_1608Metric,113.500000,-59.900000,0.0000,top
C2241,C_0603_1608Metric,118.000000,-68.000000,0.0000,bottom
C2242,C_0603_1608Metric,138.300000,-59.900000,0.0000,top
C2243,C_0402_1005Metric,147.600000,-59.900000,0.0000,top
C2250,C_0603_1608Metric,138.300000,-93.000000,0.0000,bottom
C2251,C_0603_1608Metric,148.250000,-92.750000,90.0000,bottom
C2252,C_0603_1608Metric,152.000000,-93.500000,180.0000,top
C2253,C_0603_1608Metric,165.000000,-67.750000,0.0000,top
C2254,C_1206_3216Metric,167.000000,-72.750000,270.0000,top
C2255,C_0603_1608Metric,165.250000,-77.000000,90.0000,bottom
C2256,C_0603_1608Metric,165.250000,-72.000000,90.0000,bottom
D2200,D_SOD-323,153.000000,-75.500000,270.0000,bottom
D2201,SOT-23,157.000000,-71.000000,0.0000,bottom
D2202,SOT-23,159.000000,-90.000000,0.0000,bottom
J2072,Molex_Micro-Fit_3.0_43650-0224_1x02-1MP_P3.00mm_Vertical,141.150000,-67.750000,0.0000,top
J2074,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,128.750000,-63.900000,0.0000,bottom
J2200,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,135.250000,-69.500000,180.0000,bottom
Q11,CSD18540Q5B_DNK,114.450000,-67.375000,270.0000,top
Q12,CSD18540Q5B_DNK,159.350000,-67.375000,270.0000,top
Q701,SOT-23,143.500000,-71.500000,0.0000,bottom
Q703,CSD18540Q5B_DNK,121.531000,-67.408000,270.0000,top
Q704,CSD18540Q5B_DNK,152.235000,-67.405000,270.0000,top
Q2200,SOT-23,134.750000,-89.250000,90.0000,bottom
Q2201,SOT-23,134.500000,-89.000000,0.0000,top
R700,R_0603_1608Metric,140.850000,-78.700000,0.0000,top
R701,R_0603_1608Metric,141.450000,-76.250000,90.0000,top
R702,R_0603_1608Metric,142.950000,-76.450000,90.0000,top
R703,R_0603_1608Metric,125.600000,-70.200000,270.0000,top
R707,R_0603_1608Metric,146.200000,-73.050000,90.0000,top
R708,R_0603_1608Metric,163.250000,-83.250000,0.0000,bottom
R709,R_0603_1608Metric,137.600000,-73.800000,180.0000,top
R840,R_0603_1608Metric,122.200000,-83.850000,0.0000,top
R841,R_0603_1608Metric,118.800000,-79.850000,0.0000,top
R842,R_0603_1608Metric,137.000000,-86.550000,180.0000,top
R843,R_0603_1608Metric,124.175000,-85.350000,0.0000,top
R844,R_0603_1608Metric,119.200000,-83.850000,180.0000,top
R845,R_0603_1608Metric,126.650000,-88.150000,0.0000,top
R846,R_0603_1608Metric,123.250000,-72.150000,0.0000,top
R847,R_0603_1608Metric,118.000000,-72.900000,90.0000,top
R848,R_0603_1608Metric,137.150000,-83.550000,0.0000,top
R849,R_0603_1608Metric,120.250000,-72.150000,0.0000,top
R850,R_0603_1608Metric,153.250000,-72.400000,180.0000,top
R851,R_0603_1608Metric,137.000000,-85.050000,0.0000,top
R852,R_0603_1608Metric,135.900000,-78.800000,180.0000,top
R853,R_0603_1608Metric,136.150000,-80.300000,180.0000,top
R854,R_0603_1608Metric,137.500000,-81.800000,0.0000,top
R2200,R_2010_5025Metric,113.750000,-82.000000,180.0000,bottom
R2201,R_0603_1608Metric,129.250000,-92.250000,90.0000,bottom
R2210,R_0603_1608Metric,155.500000,-62.000000,180.0000,top
R2211,R_0603_1608Metric,158.500000,-62.750000,180.0000,top
R2212,R_0603_1608Metric,129.250000,-68.000000,180.0000,bottom
R2213,R_0603_1608Metric,109.500000,-61.500000,0.0000,bottom
R2214,R_0603_1608Metric,118.000000,-62.500000,0.0000,top
R2215,R_0603_1608Metric,130.500000,-70.000000,180.0000,top
R2216,R_0603_1608Metric,130.250000,-61.750000,0.0000,top
R2217,R_0402_1005Metric,136.800000,-61.800000,180.0000,top
R2218,R_0603_1608Metric,132.000000,-67.250000,180.0000,top
R2230,R_0603_1608Metric,142.000000,-66.500000,90.0000,bottom
R2231,R_0603_1608Metric,128.000000,-72.250000,90.0000,bottom
R2232,R_0603_1608Metric,113.300000,-93.500000,0.0000,top
R2233,R_0603_1608Metric,134.500000,-93.000000,0.0000,top
R2234,R_0603_1608Metric,123.000000,-91.250000,90.0000,top
R2235,R_0603_1608Metric,120.750000,-92.000000,0.0000,top
R2236,R_0603_1608Metric,134.500000,-93.500000,0.0000,bottom
R2237,R_0603_1608Metric,123.500000,-93.875000,180.0000,bottom
R2238,R_0603_1608Metric,119.500000,-91.750000,0.0000,bottom
R2239,R_0603_1608Metric,119.500000,-93.250000,0.0000,bottom
R2240,R_0603_1608Metric,116.600000,-59.800000,0.0000,top
R2241,R_0603_1608Metric,119.700000,-59.900000,0.0000,top
R2242,R_0603_1608Metric,122.800000,-59.900000,0.0000,top
R2243,R_0603_1608Metric,125.850000,-60.000000,180.0000,top
R2244,R_0603_1608Metric,132.100000,-59.900000,0.0000,top
R2245,R_0603_1608Metric,135.200000,-60.000000,180.0000,top
R2246,R_0603_1608Metric,141.400000,-59.900000,0.0000,top
R2247,R_0603_1608Metric,144.500000,-59.900000,0.0000,top
R2250,R_0603_1608Metric,151.250000,-91.000000,270.0000,bottom
R2251,R_0603_1608Metric,150.500000,-93.250000,0.0000,bottom
R2252,R_1206_3216Metric,156.500000,-77.250000,0.0000,bottom
R2253,R_0603_1608Metric,164.000000,-86.000000,90.0000,bottom
R2254,R_0402_1005Metric,141.000000,-72.150000,270.0000,bottom
R2255,R_0603_1608Metric,162.750000,-70.000000,0.0000,bottom
R2256,R_0603_1608Metric,164.375000,-67.125000,180.0000,bottom
R2257,R_1206_3216Metric,154.500000,-92.500000,0.0000,bottom
R2258,R_0603_1608Metric,140.750000,-73.750000,0.0000,top
R2259,R_0603_1608Metric,153.500000,-72.000000,0.0000,bottom
R2264,R_0603_1608Metric,156.900000,-74.300000,180.0000,bottom
R2265,R_0603_1608Metric,153.500000,-89.750000,90.0000,bottom
RS10,R_2512_6332Metric,118.400000,-89.300000,180.0000,top
RS11,R_2512_6332Metric,118.400000,-76.700000,0.0000,top
U11,MSOP-10_3x3mm_P0.5mm,137.600000,-76.300000,180.0000,top
U719,TSSOP-24_4.4x7.8mm_P0.65mm,130.537500,-83.200000,0.0000,top
U2200,SOT-23-5,113.500000,-65.750000,180.0000,bottom
U2201,TSSOP-14_4.4x5mm_P0.65mm,147.250000,-62.750000,180.0000,bottom
U2202,TSSOP-14_4.4x5mm_P0.65mm,120.350000,-62.950000,0.0000,bottom
U2203,TSSOP-14_4.4x5mm_P0.65mm,137.000000,-63.250000,180.0000,bottom
U2204,SOT-23,116.250000,-89.250000,90.0000,bottom
U2205,TI_DCU0008A_VSSOP8,136.750000,-86.000000,180.0000,bottom
U2206,QSOP-16_3.9x4.9mm_P0.635mm,143.750000,-91.250000,0.0000,bottom
U2207,SOT-363_SC-70-6,156.000000,-93.250000,0.0000,top
U2208,SOT-23-5,164.000000,-70.750000,270.0000,top
U2209,SOIC-8_3.9x4.9mm_P1.27mm,161.750000,-74.500000,90.0000,bottom
