Designator,Reason
TPB1,bare copper test point; no component to fit
TPB2,bare copper test point; no component to fit
TPB3,bare copper test point; no component to fit
TPB4,bare copper test point; no component to fit
TPB5,bare copper test point; no component to fit
TPB6,bare copper test point; no component to fit
TPB7,bare copper test point; no component to fit
TPB8,bare copper test point; no component to fit
TPB9,bare copper test point; no component to fit
TPB10,bare copper test point; no component to fit
TPB11,bare copper test point; no component to fit
TPB12,bare copper test point; no component to fit
TPB13,bare copper test point; no component to fit
TPB14,bare copper test point; no component to fit
TPB15,bare copper test point; no component to fit
TPB16,bare copper test point; no component to fit
TPB20,bare copper test point; no component to fit
TPB21,bare copper test point; no component to fit
TPB22,bare copper test point; no component to fit
TPB23,bare copper test point; no component to fit
TPB24,bare copper test point; no component to fit
TPB25,bare copper test point; no component to fit
TPB26,bare copper test point; no component to fit
TPB27,bare copper test point; no component to fit
