Reference,Value,Manufacturer,MPN,LCSC,Footprint,Assembly
D320,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D321,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D322,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D323,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D324,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D325,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D326,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D327,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D328,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D329,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D330,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D331,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D332,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D333,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D334,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D335,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D336,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D337,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D338,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D339,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D340,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D341,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D342,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D343,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D344,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
D345,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",1N4148WS,C2128,ducktop2:D_SOD-323_JSCJ_1N4148WS,factory
