Designator,Mid X,Mid Y,Rotation,Layer
D320,34.450000mm,-8.000000mm,90.0000,Top
D321,52.450000mm,-8.000000mm,90.0000,Top
D322,70.450000mm,-8.000000mm,90.0000,Top
D323,88.450000mm,-8.000000mm,90.0000,Top
D324,106.450000mm,-8.000000mm,90.0000,Top
D325,124.450000mm,-8.000000mm,90.0000,Top
D326,142.450000mm,-8.000000mm,90.0000,Top
D327,160.450000mm,-8.000000mm,90.0000,Top
D328,178.450000mm,-8.000000mm,90.0000,Top
D329,196.450000mm,-8.000000mm,90.0000,Top
D330,214.450000mm,-8.000000mm,90.0000,Top
D331,232.450000mm,-8.000000mm,90.0000,Top
D332,250.450000mm,-8.000000mm,90.0000,Top
D333,275.200000mm,-8.000000mm,90.0000,Top
D334,41.200000mm,-24.000000mm,90.0000,Top
D335,61.450000mm,-24.000000mm,90.0000,Top
D336,79.450000mm,-24.000000mm,90.0000,Top
D337,97.450000mm,-24.000000mm,90.0000,Top
D338,115.450000mm,-24.000000mm,90.0000,Top
D339,133.450000mm,-24.000000mm,90.0000,Top
D340,151.450000mm,-24.000000mm,90.0000,Top
D341,169.450000mm,-24.000000mm,90.0000,Top
D342,187.450000mm,-24.000000mm,90.0000,Top
D343,205.450000mm,-24.000000mm,90.0000,Top
D344,223.450000mm,-24.000000mm,90.0000,Top
D345,241.450000mm,-24.000000mm,90.0000,Top
D346,259.450000mm,-24.000000mm,90.0000,Top
D347,277.450000mm,-24.000000mm,90.0000,Top
D348,43.450000mm,-40.000000mm,90.0000,Top
D349,65.950000mm,-40.000000mm,90.0000,Top
D350,83.950000mm,-40.000000mm,90.0000,Top
D351,101.950000mm,-40.000000mm,90.0000,Top
D352,119.950000mm,-40.000000mm,90.0000,Top
D353,137.950000mm,-40.000000mm,90.0000,Top
D354,155.950000mm,-40.000000mm,90.0000,Top
D355,173.950000mm,-40.000000mm,90.0000,Top
D356,191.950000mm,-40.000000mm,90.0000,Top
D357,209.950000mm,-40.000000mm,90.0000,Top
D358,227.950000mm,-40.000000mm,90.0000,Top
D359,245.950000mm,-40.000000mm,90.0000,Top
D360,270.700000mm,-40.000000mm,90.0000,Top
D361,47.950000mm,-56.000000mm,90.0000,Top
D362,72.700000mm,-56.000000mm,90.0000,Top
D363,90.700000mm,-56.000000mm,90.0000,Top
D364,108.700000mm,-56.000000mm,90.0000,Top
D365,126.700000mm,-56.000000mm,90.0000,Top
D366,144.700000mm,-56.000000mm,90.0000,Top
D367,162.700000mm,-56.000000mm,90.0000,Top
D368,180.700000mm,-56.000000mm,90.0000,Top
D369,198.700000mm,-56.000000mm,90.0000,Top
D370,216.700000mm,-56.000000mm,90.0000,Top
D371,234.700000mm,-56.000000mm,90.0000,Top
D372,252.700000mm,-56.000000mm,90.0000,Top
D373,272.950000mm,-56.000000mm,90.0000,Top
D374,36.700000mm,-72.000000mm,90.0000,Top
D375,54.700000mm,-72.000000mm,90.0000,Top
D376,72.700000mm,-72.000000mm,90.0000,Top
D377,90.700000mm,-72.000000mm,90.0000,Top
D378,119.950000mm,-72.000000mm,90.0000,Top
D379,160.450000mm,-72.000000mm,90.0000,Top
D380,189.700000mm,-72.000000mm,90.0000,Top
D381,207.700000mm,-72.000000mm,90.0000,Top
D382,243.700000mm,-72.000000mm,90.0000,Top
D383,261.700000mm,-72.000000mm,90.0000,Top
D384,279.700000mm,-72.000000mm,90.0000,Top
J320,285.850000mm,-41.250000mm,90.0000,Top
