Reference,X_mm,Y_mm,Drill_mm
SW372,238.7,57.2,1.05
SW372,250.3,52.74,1.2
SW372,250.3,59.26,1.2
SW330,200.45,9.2,1.05
SW330,212.05,4.74,1.2
SW330,212.05,11.26,1.2
SW347,263.45,25.2,1.05
SW347,275.05,20.74,1.2
SW347,275.05,27.26,1.2
SW343,191.45,25.2,1.05
SW343,203.05,20.74,1.2
SW343,203.05,27.26,1.2
SW344,209.45,25.2,1.05
SW344,221.05,20.74,1.2
SW344,221.05,27.26,1.2
SW329,182.45,9.2,1.05
SW329,194.05,4.74,1.2
SW329,194.05,11.26,1.2
SW369,184.7,57.2,1.05
SW369,196.3,52.74,1.2
SW369,196.3,59.26,1.2
SW362,58.7,57.2,1.05
SW362,70.3,52.74,1.2
SW362,70.3,59.26,1.2
SW355,159.95,41.2,1.05
SW355,171.55,36.74,1.2
SW355,171.55,43.26,1.2
SW354,141.95,41.2,1.05
SW354,153.55,36.74,1.2
SW354,153.55,43.26,1.2
SW370,202.7,57.2,1.05
SW370,214.3,52.74,1.2
SW370,214.3,59.26,1.2
SW322,56.45,9.2,1.05
SW322,68.05,4.74,1.2
SW322,68.05,11.26,1.2
SW324,92.45,9.2,1.05
SW324,104.05,4.74,1.2
SW324,104.05,11.26,1.2
SW367,148.7,57.2,1.05
SW367,160.3,52.74,1.2
SW367,160.3,59.26,1.2
SW365,112.7,57.2,1.05
SW365,124.3,52.74,1.2
SW365,124.3,59.26,1.2
SW340,137.45,25.2,1.05
SW340,149.05,20.74,1.2
SW340,149.05,27.26,1.2
SW326,128.45,9.2,1.05
SW326,140.05,4.74,1.2
SW326,140.05,11.26,1.2
SW357,195.95,41.2,1.05
SW357,207.55,36.74,1.2
SW357,207.55,43.26,1.2
SW325,110.45,9.2,1.05
SW325,122.05,4.74,1.2
SW325,122.05,11.26,1.2
SW378,105.95,73.2,1.05
SW378,117.55,68.74,1.2
SW378,117.55,75.26,1.2
SW328,164.45,9.2,1.05
SW328,176.05,4.74,1.2
SW328,176.05,11.26,1.2
SW332,236.45,9.2,1.05
SW332,248.05,4.74,1.2
SW332,248.05,11.26,1.2
SW363,76.7,57.2,1.05
SW363,88.3,52.74,1.2
SW363,88.3,59.26,1.2
SW371,220.7,57.2,1.05
SW371,232.3,52.74,1.2
SW371,232.3,59.26,1.2
SW339,119.45,25.2,1.05
SW339,131.05,20.74,1.2
SW339,131.05,27.26,1.2
SW383,247.7,73.2,1.05
SW383,259.3,68.74,1.2
SW383,259.3,75.26,1.2
SW331,218.45,9.2,1.05
SW331,230.05,4.74,1.2
SW331,230.05,11.26,1.2
SW361,33.95,57.2,1.05
SW361,45.55,52.74,1.2
SW361,45.55,59.26,1.2
SW359,231.95,41.2,1.05
SW359,243.55,36.74,1.2
SW359,243.55,43.26,1.2
SW368,166.7,57.2,1.05
SW368,178.3,52.74,1.2
SW368,178.3,59.26,1.2
SW384,265.7,73.2,1.05
SW384,277.3,68.74,1.2
SW384,277.3,75.26,1.2
SW379,146.45,73.2,1.05
SW379,158.05,68.74,1.2
SW379,158.05,75.26,1.2
SW333,261.2,9.2,1.05
SW333,272.8,4.74,1.2
SW333,272.8,11.26,1.2
SW336,65.45,25.2,1.05
SW336,77.05,20.74,1.2
SW336,77.05,27.26,1.2
SW351,87.95,41.2,1.05
SW351,99.55,36.74,1.2
SW351,99.55,43.26,1.2
SW338,101.45,25.2,1.05
SW338,113.05,20.74,1.2
SW338,113.05,27.26,1.2
SW380,175.7,73.2,1.05
SW380,187.3,68.74,1.2
SW380,187.3,75.26,1.2
SW335,47.45,25.2,1.05
SW335,59.05,20.74,1.2
SW335,59.05,27.26,1.2
SW327,146.45,9.2,1.05
SW327,158.05,4.74,1.2
SW327,158.05,11.26,1.2
SW376,58.7,73.2,1.05
SW376,70.3,68.74,1.2
SW376,70.3,75.26,1.2
SW323,74.45,9.2,1.05
SW323,86.05,4.74,1.2
SW323,86.05,11.26,1.2
SW320,20.45,9.2,1.05
SW320,32.05,4.74,1.2
SW320,32.05,11.26,1.2
SW374,22.7,73.2,1.05
SW374,34.3,68.74,1.2
SW374,34.3,75.26,1.2
SW350,69.95,41.2,1.05
SW350,81.55,36.74,1.2
SW350,81.55,43.26,1.2
SW346,245.45,25.2,1.05
SW346,257.05,20.74,1.2
SW346,257.05,27.26,1.2
SW352,105.95,41.2,1.05
SW352,117.55,36.74,1.2
SW352,117.55,43.26,1.2
SW356,177.95,41.2,1.05
SW356,189.55,36.74,1.2
SW356,189.55,43.26,1.2
SW349,51.95,41.2,1.05
SW349,63.55,36.74,1.2
SW349,63.55,43.26,1.2
SW360,256.7,41.2,1.05
SW360,268.3,36.74,1.2
SW360,268.3,43.26,1.2
SW375,40.7,73.2,1.05
SW375,52.3,68.74,1.2
SW375,52.3,75.26,1.2
SW377,76.7,73.2,1.05
SW377,88.3,68.74,1.2
SW377,88.3,75.26,1.2
SW348,29.45,41.2,1.05
SW348,41.05,36.74,1.2
SW348,41.05,43.26,1.2
SW337,83.45,25.2,1.05
SW337,95.05,20.74,1.2
SW337,95.05,27.26,1.2
SW364,94.7,57.2,1.05
SW364,106.3,52.74,1.2
SW364,106.3,59.26,1.2
SW373,258.95,57.2,1.05
SW373,270.55,52.74,1.2
SW373,270.55,59.26,1.2
SW353,123.95,41.2,1.05
SW353,135.55,36.74,1.2
SW353,135.55,43.26,1.2
SW345,227.45,25.2,1.05
SW345,239.05,20.74,1.2
SW345,239.05,27.26,1.2
SW321,38.45,9.2,1.05
SW321,50.05,4.74,1.2
SW321,50.05,11.26,1.2
SW381,193.7,73.2,1.05
SW381,205.3,68.74,1.2
SW381,205.3,75.26,1.2
SW342,173.45,25.2,1.05
SW342,185.05,20.74,1.2
SW342,185.05,27.26,1.2
SW358,213.95,41.2,1.05
SW358,225.55,36.74,1.2
SW358,225.55,43.26,1.2
SW382,229.7,73.2,1.05
SW382,241.3,68.74,1.2
SW382,241.3,75.26,1.2
SW334,27.2,25.2,1.05
SW334,38.8,20.74,1.2
SW334,38.8,27.26,1.2
SW366,130.7,57.2,1.05
SW366,142.3,52.74,1.2
SW366,142.3,59.26,1.2
SW341,155.45,25.2,1.05
SW341,167.05,20.74,1.2
SW341,167.05,27.26,1.2
