Reference,Pad,X_mm,Y_mm,Width_mm,Height_mm,Net
SW372,1,243.85,58.3,0.7,3.4,KB_R3_C11_UP
SW372,2,246.3,58.3,0.7,3.4,KB_COL11
SW372,MP,238.3,52.1,1.6,3.8,GND
SW372,MP,238.3,60.5,1.6,3.0,GND
SW372,MP,250.7,50.975,1.6,1.8,GND
SW372,MP,250.7,56.0,1.6,2.6,GND
SW372,MP,250.7,61.025,1.6,1.8,GND
SW330,1,205.6,10.3,0.7,3.4,KB_R0_C10_0
SW330,2,208.05,10.3,0.7,3.4,KB_COL10
SW330,MP,200.05,4.1,1.6,3.8,GND
SW330,MP,200.05,12.5,1.6,3.0,GND
SW330,MP,212.45,2.975,1.6,1.8,GND
SW330,MP,212.45,8.0,1.6,2.6,GND
SW330,MP,212.45,13.025,1.6,1.8,GND
SW347,1,268.6,26.3,0.7,3.4,KB_R1_C13_BSLASH
SW347,2,271.05,26.3,0.7,3.4,KB_COL13
SW347,MP,263.05,20.1,1.6,3.8,GND
SW347,MP,263.05,28.5,1.6,3.0,GND
SW347,MP,275.45,18.975,1.6,1.8,GND
SW347,MP,275.45,24.0,1.6,2.6,GND
SW347,MP,275.45,29.025,1.6,1.8,GND
SW343,1,196.6,26.3,0.7,3.4,KB_R1_C9_O
SW343,2,199.05,26.3,0.7,3.4,KB_COL9
SW343,MP,191.05,20.1,1.6,3.8,GND
SW343,MP,191.05,28.5,1.6,3.0,GND
SW343,MP,203.45,18.975,1.6,1.8,GND
SW343,MP,203.45,24.0,1.6,2.6,GND
SW343,MP,203.45,29.025,1.6,1.8,GND
SW344,1,214.6,26.3,0.7,3.4,KB_R1_C10_P
SW344,2,217.05,26.3,0.7,3.4,KB_COL10
SW344,MP,209.05,20.1,1.6,3.8,GND
SW344,MP,209.05,28.5,1.6,3.0,GND
SW344,MP,221.45,18.975,1.6,1.8,GND
SW344,MP,221.45,24.0,1.6,2.6,GND
SW344,MP,221.45,29.025,1.6,1.8,GND
SW329,1,187.6,10.3,0.7,3.4,KB_R0_C9_9
SW329,2,190.05,10.3,0.7,3.4,KB_COL9
SW329,MP,182.05,4.1,1.6,3.8,GND
SW329,MP,182.05,12.5,1.6,3.0,GND
SW329,MP,194.45,2.975,1.6,1.8,GND
SW329,MP,194.45,8.0,1.6,2.6,GND
SW329,MP,194.45,13.025,1.6,1.8,GND
SW369,1,189.85,58.3,0.7,3.4,KB_R3_C8_COMMA
SW369,2,192.3,58.3,0.7,3.4,KB_COL8
SW369,MP,184.3,52.1,1.6,3.8,GND
SW369,MP,184.3,60.5,1.6,3.0,GND
SW369,MP,196.7,50.975,1.6,1.8,GND
SW369,MP,196.7,56.0,1.6,2.6,GND
SW369,MP,196.7,61.025,1.6,1.8,GND
SW362,1,63.85,58.3,0.7,3.4,KB_R3_C1_Z
SW362,2,66.3,58.3,0.7,3.4,KB_COL1
SW362,MP,58.3,52.1,1.6,3.8,GND
SW362,MP,58.3,60.5,1.6,3.0,GND
SW362,MP,70.7,50.975,1.6,1.8,GND
SW362,MP,70.7,56.0,1.6,2.6,GND
SW362,MP,70.7,61.025,1.6,1.8,GND
SW355,1,165.1,42.3,0.7,3.4,KB_R2_C7_J
