Designator,Mid X,Mid Y,Rotation,Layer
SW320,26.250000mm,-8.000000mm,0.0000,Top
SW321,44.250000mm,-8.000000mm,0.0000,Top
SW322,62.250000mm,-8.000000mm,0.0000,Top
SW323,80.250000mm,-8.000000mm,0.0000,Top
SW324,98.250000mm,-8.000000mm,0.0000,Top
SW325,116.250000mm,-8.000000mm,0.0000,Top
SW326,134.250000mm,-8.000000mm,0.0000,Top
SW327,152.250000mm,-8.000000mm,0.0000,Top
SW328,170.250000mm,-8.000000mm,0.0000,Top
SW329,188.250000mm,-8.000000mm,0.0000,Top
SW330,206.250000mm,-8.000000mm,0.0000,Top
SW331,224.250000mm,-8.000000mm,0.0000,Top
SW332,242.250000mm,-8.000000mm,0.0000,Top
SW333,267.000000mm,-8.000000mm,0.0000,Top
SW334,33.000000mm,-24.000000mm,0.0000,Top
SW335,53.250000mm,-24.000000mm,0.0000,Top
SW336,71.250000mm,-24.000000mm,0.0000,Top
SW337,89.250000mm,-24.000000mm,0.0000,Top
SW338,107.250000mm,-24.000000mm,0.0000,Top
SW339,125.250000mm,-24.000000mm,0.0000,Top
SW340,143.250000mm,-24.000000mm,0.0000,Top
SW341,161.250000mm,-24.000000mm,0.0000,Top
SW342,179.250000mm,-24.000000mm,0.0000,Top
SW343,197.250000mm,-24.000000mm,0.0000,Top
SW344,215.250000mm,-24.000000mm,0.0000,Top
SW345,233.250000mm,-24.000000mm,0.0000,Top
SW346,251.250000mm,-24.000000mm,0.0000,Top
SW347,269.250000mm,-24.000000mm,0.0000,Top
SW348,35.250000mm,-40.000000mm,0.0000,Top
SW349,57.750000mm,-40.000000mm,0.0000,Top
SW350,75.750000mm,-40.000000mm,0.0000,Top
SW351,93.750000mm,-40.000000mm,0.0000,Top
SW352,111.750000mm,-40.000000mm,0.0000,Top
SW353,129.750000mm,-40.000000mm,0.0000,Top
SW354,147.750000mm,-40.000000mm,0.0000,Top
SW355,165.750000mm,-40.000000mm,0.0000,Top
SW356,183.750000mm,-40.000000mm,0.0000,Top
SW357,201.750000mm,-40.000000mm,0.0000,Top
SW358,219.750000mm,-40.000000mm,0.0000,Top
SW359,237.750000mm,-40.000000mm,0.0000,Top
SW360,262.500000mm,-40.000000mm,0.0000,Top
SW361,39.750000mm,-56.000000mm,0.0000,Top
SW362,64.500000mm,-56.000000mm,0.0000,Top
SW363,82.500000mm,-56.000000mm,0.0000,Top
SW364,100.500000mm,-56.000000mm,0.0000,Top
SW365,118.500000mm,-56.000000mm,0.0000,Top
SW366,136.500000mm,-56.000000mm,0.0000,Top
SW367,154.500000mm,-56.000000mm,0.0000,Top
SW368,172.500000mm,-56.000000mm,0.0000,Top
SW369,190.500000mm,-56.000000mm,0.0000,Top
SW370,208.500000mm,-56.000000mm,0.0000,Top
SW371,226.500000mm,-56.000000mm,0.0000,Top
SW372,244.500000mm,-56.000000mm,0.0000,Top
SW373,264.750000mm,-56.000000mm,0.0000,Top
SW374,28.500000mm,-72.000000mm,0.0000,Top
SW375,46.500000mm,-72.000000mm,0.0000,Top
SW376,64.500000mm,-72.000000mm,0.0000,Top
SW377,82.500000mm,-72.000000mm,0.0000,Top
SW378,111.750000mm,-72.000000mm,0.0000,Top
SW379,152.250000mm,-72.000000mm,0.0000,Top
SW380,181.500000mm,-72.000000mm,0.0000,Top
SW381,199.500000mm,-72.000000mm,0.0000,Top
SW382,235.500000mm,-72.000000mm,0.0000,Top
SW383,253.500000mm,-72.000000mm,0.0000,Top
SW384,271.500000mm,-72.000000mm,0.0000,Top
