Ref,Val,Package,PosX,PosY,Rot,Side
"J1","DF40C 60-pin radio daughterboard receptacle","Hirose_DF40C(2.0)-60DS-0.4V_2x30_P0.4mm",140.500000,-89.110000,180.000000,bottom
"C1","10u 10V RADIO_DB_5V local bulk","C_1206_3216Metric",129.200000,-112.200000,180.000000,top
"C2","1u AP2112 input local","C_0805_2012Metric",144.150000,-119.950000,180.000000,top
"C3","1u AP2112 output local","C_0805_2012Metric",142.100000,-100.600000,0.000000,top
"C4","10u RADIO_DB_3V3 local bulk","C_1206_3216Metric",138.050000,-94.700000,180.000000,top
"C5","100n RADIO_DB_3V3 high-frequency","C_0603_1608Metric",148.125000,-93.950000,0.000000,top
"C40","100n GNSS input-buffer local","C_0603_1608Metric",141.850000,-94.900000,0.000000,top
"C41","10u GNSS local","C_1206_3216Metric",161.850000,-122.150000,0.000000,top
"C42","100n GNSS local","C_0603_1608Metric",134.200000,-94.750000,180.000000,top
"C220","10u 25V X7R radio VIN","C_1206_3216Metric",130.500000,-109.850000,180.000000,top
"C221","100n BOOT","C_0603_1608Metric",143.200000,-112.300000,0.000000,top
"C222","22u 16V X7R radio output","C_1206_3216Metric",149.200000,-105.450000,180.000000,top
"C223","100n 50V X7R radio HF","C_0603_1608Metric",147.325000,-119.700000,180.000000,top
"C224","56p C0G TPS54302 feed-forward","C_0402_1005Metric",146.600000,-108.750000,180.000000,top
"C225","22u 16V X7R radio output","C_1206_3216Metric",147.000000,-111.850000,180.000000,top
"C226","10n VHF audio RF shunt","C_0603_1608Metric",191.550000,-111.750000,180.000000,top
"C227","10n UHF audio RF shunt","C_0603_1608Metric",104.550000,-87.350000,0.000000,top
"C240","100n VHF RF-select latch local","C_0603_1608Metric",135.700000,-118.850000,180.000000,top
"C243","10n PE42820 VDD bypass per eval board","C_0603_1608Metric",167.300000,-110.500000,90.000000,top
"C244","100p PE42820 V1 RF bypass per eval board","C_0603_1608Metric",165.800000,-110.510000,90.000000,top
"C246","100n VHF fail-safe buffer local","C_0603_1608Metric",125.400000,-113.250000,180.000000,top
"C247","100n VHF UART translator RADIO_4V0","C_0603_1608Metric",130.050000,-107.250000,180.000000,top
"C248","100n VHF UART translator 3V3","C_0603_1608Metric",148.100000,-95.450000,0.000000,top
"C250","100n UHF RF-select latch local","C_0603_1608Metric",134.950000,-113.600000,-90.000000,top
"C253","10n PE42820 VDD bypass per eval board","C_0603_1608Metric",161.900000,-114.400000,0.000000,top
"C254","100p PE42820 V1 RF bypass per eval board","C_0603_1608Metric",137.200000,-110.850000,180.000000,top
"C256","100n UHF fail-safe buffer local","C_0603_1608Metric",151.150000,-112.950000,0.000000,top
"C257","100n UHF UART translator RADIO_4V0","C_0603_1608Metric",125.450000,-111.750000,180.000000,top
"C258","100n UHF UART translator 3V3","C_0603_1608Metric",144.850000,-94.900000,180.000000,top
"C260","100n PTT interlock local","C_0603_1608Metric",141.850000,-98.850000,0.000000,top
"C261","100n PTT interlock local","C_0603_1608Metric",147.250000,-99.700000,-90.000000,top
"C270","100p C0G 250V VHF PE42820 RFC DC block","C_0603_1608Metric",165.550000,-119.500000,90.000000,top
"C271","100p C0G 250V VHF PE42820 RF1_EXTERNAL DC block","C_0603_1608Metric",170.250000,-117.200000,-90.000000,top
"C272","100p C0G 250V VHF PE42820 RF2_INTERNAL DC block","C_0603_1608Metric",162.000000,-116.250000,180.000000,top
"C273","100p C0G 250V UHF PE42820 RFC DC block","C_0603_1608Metric",139.450000,-119.100000,90.000000,top
"C274","100p C0G 250V UHF PE42820 RF1_EXTERNAL DC block","C_0603_1608Metric",140.950000,-119.100000,-90.000000,top
"C275","100p C0G 250V UHF PE42820 RF2_INTERNAL DC block","C_0603_1608Metric",134.950000,-116.600000,-90.000000,top
"C330","1u PCM2902C VBUS","C_0805_2012Metric",147.900000,-97.200000,180.000000,top
"C331","10u VCCCI","C_1206_3216Metric",150.300000,-99.350000,180.000000,top
"C332","1u VCCP1I (<2u)","C_0805_2012Metric",164.550000,-103.550000,0.000000,top
"C333","1u VCCP2I (<2u)","C_0805_2012Metric",164.550000,-101.550000,0.000000,top
"C334","1u VCCXI (<2u)","C_0805_2012Metric",163.700000,-96.550000,0.000000,top
"C335","1u VDDI (<2u)","C_0805_2012Metric",163.700000,-94.550000,0.000000,top
"C337","10u VCOM","C_1206_3216Metric",150.300000,-101.650000,180.000000,top
"C338","18p C0G 5% PCM2902 crystal load","C_0603_1608Metric",163.500000,-98.300000,0.000000,top
"C339","18p C0G 5% PCM2902 crystal load","C_0603_1608Metric",164.100000,-99.800000,0.000000,top
"C340","1u VHF RX AC couple","C_0805_2012Metric",192.250000,-113.500000,180.000000,top
"C341","1u UHF RX AC couple","C_0805_2012Metric",101.350000,-88.600000,180.000000,top
"C342","1u VHF TX audio AC couple","C_0805_2012Metric",164.550000,-105.550000,0.000000,top
"C343","1u UHF TX audio AC couple","C_0805_2012Metric",153.250000,-104.050000,180.000000,top
